,,,,,,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches,-9999
178,Renan dos Santos,br BRA,GK,Atl Goianiense,32,1989,16.0,425,234,190,38,0,1,0,0,0,0,0,0,332,1,0,Matches,6bfaecc4
179,Douglas,br BRA,DF,Bragantino,33,1988,0.8,,,,,,,1,,,,,,,,,Matches,e7fea035
180,Rodrigo Dourado,br BRA,MF,Internacional,27,1994,5.0,183,175,8,8,1,0,0,0,0,0,0,0,153,0,4,Matches,d7d05a22
181,David Duarte,br BRA,DF,Fluminense,27,1995,0.9,46,44,2,1,0,0,0,1,0,0,0,0,34,0,1,Matches,91bf16f7
182,Dudu,br BRA,FW,Palmeiras,30,1992,31.3,1156,1074,66,17,3,23,77,37,12,5,2,0,861,16,36,Matches,895ef5ec
183,Dudu,br BRA,DF,Juventude,19,2002,1.2,42,37,5,0,0,0,1,4,1,0,1,0,29,0,1,Matches,3f10ae0b
184,Pablo Dyego,br BRA,FW,Avaí,27,1994,5.4,130,126,4,1,0,0,7,2,0,0,0,0,108,0,3,Matches,fce54d7d
185,Edenílson,br BRA,MF,Internacional,32,1989,24.3,1131,1055,71,26,2,10,62,11,33,3,27,0,946,5,17,Matches,4e50f20e
186,Eder,br BRA,DF,América (MG),26,1995,32.7,1149,1099,45,43,1,16,1,2,0,0,0,0,899,5,6,Matches,ba1a2c4c
187,Éder,it ITA,FWMF,São Paulo,35,1986,7.4,133,122,11,2,0,1,11,0,0,0,0,0,104,0,3,Matches,5a325298
188,Edinho,br BRA,MF,Juventude,27,1994,4.1,,,,,,,20,,,,,,,,,Matches,a8cedcd9
189,Edson,br BRA,MFDF,Atl Goianiense,23,1998,9.1,482,410,72,23,0,2,16,44,5,0,4,0,409,0,6,Matches,644d4d85
190,Edson,br BRA,DFMF,Atl Goianiense,30,1991,15.8,869,839,29,25,0,9,1,4,0,0,0,0,762,1,8,Matches,041250aa
191,Carlos Eduardo,br BRA,MF,Botafogo (RJ),32,1989,12.2,489,467,21,11,1,6,11,3,0,0,0,0,406,1,6,Matches,1a234d32
192,Carlos Eduardo,br BRA,FWMF,Bragantino,25,1996,10.0,170,160,9,0,0,4,15,1,0,0,0,0,115,1,10,Matches,27c23008
193,Elton,br BRA,MF,Juventude,31,1990,12.9,539,517,21,20,0,3,0,1,0,0,0,0,482,1,8,Matches,42b5868b
194,Leandro Emmanuel Martínez,ar ARG,MF,América (MG),27,1994,2.9,157,130,27,9,0,0,19,0,18,4,9,0,128,0,2,Matches,74758396
195,Alan Empereur,br BRA,DF,Cuiabá,27,1994,24.7,1065,976,84,72,0,15,6,10,0,0,0,0,886,5,11,Matches,825b8997
196,Endrick,br BRA,FW,Palmeiras,15,2006,3.4,32,28,4,0,0,0,2,0,0,0,0,0,23,0,1,Matches,a2728fbf
197,Erick,br BRA,MF,Atl Paranaense,24,1997,20.5,681,650,28,21,1,5,5,7,0,0,0,0,574,3,12,Matches,8a826636
198,Erick,br BRA,FWMF,Ceará,24,1997,11.7,436,391,44,6,1,8,62,15,22,13,4,0,301,1,13,Matches,8edcad0d
199,Erison,br BRA,FW,Botafogo (RJ),22,1999,16.5,197,161,36,1,2,1,10,1,0,0,0,0,130,0,8,Matches,a9c450cb
200,Estevão,br BRA,FWMF,Internacional,19,2002,1.2,46,46,0,0,0,0,0,0,0,0,0,0,34,0,2,Matches,149f4681
201,Lucas Evangelista,br BRA,MF,Bragantino,26,1995,29.0,1246,1216,25,14,2,4,29,10,0,0,0,0,1020,5,22,Matches,5f4ce4b6
202,Everaldo,br BRA,MFFW,América (MG),27,1994,21.0,832,775,54,10,5,5,117,20,22,5,8,0,607,3,35,Matches,bdb57777
203,Éverson,br BRA,GK,Atlético Mineiro,31,1990,37.0,1161,1018,142,32,0,3,0,0,0,0,0,0,928,1,0,Matches,a59c090b
204,Éverton,br BRA,MFFW,Cuiabá,33,1988,4.4,146,143,3,1,0,0,9,2,0,0,0,0,102,0,3,Matches,f50a3570
205,Fabinho,br BRA,MF,Palmeiras,19,2002,0.8,55,55,0,0,0,1,0,0,0,0,0,0,49,0,0,Matches,ff0e595c
206,Fábio,br BRA,FWMF,Atlético Mineiro,24,1997,1.5,24,24,0,0,0,0,0,0,0,0,0,0,17,0,0,Matches,30f90535
207,Fábio,br BRA,GK,Fluminense,41,1980,38.0,957,608,348,64,0,2,0,0,0,0,0,0,794,1,0,Matches,15825726
208,Fabrício,br BRA,FWMF,Coritiba,24,1997,16.7,444,421,19,2,4,1,24,5,1,1,0,0,295,4,27,Matches,0211a29e
209,Fagner,br BRA,DF,Corinthians,32,1989,10.0,745,605,139,18,2,5,51,111,10,1,8,0,567,1,10,Matches,a9cc58fe
210,Willian Farias,br BRA,MF,Coritiba,32,1989,17.7,829,800,26,22,1,11,2,4,0,0,0,0,723,3,8,Matches,d1fcff2f
211,Lucas Fasson,br BRA,DF,Atl Paranaense,20,2001,0.8,52,48,4,2,0,2,0,2,0,0,0,0,34,0,1,Matches,31ecbf29
212,Felipe,br BRA,MF,Fortaleza,27,1994,9.8,535,499,34,22,2,7,3,12,0,0,0,0,455,2,9,Matches,cadbabf9
213,Luis Felipe,br BRA,DF,Santos,28,1993,10.9,,,,,,,0,,,,,,,,,Matches,746c8624
214,Matheus Felipe,br BRA,DF,Atl Paranaense,23,1998,19.8,637,594,40,37,0,13,2,3,0,0,0,0,507,3,6,Matches,90749ab9
215,Lucas Fernandes,br BRA,MF,Botafogo (RJ),24,1997,18.6,1017,910,102,53,2,11,63,10,36,14,19,0,854,5,11,Matches,a109d777
216,Matheus Fernandes,br BRA,MF,Atl Paranaense,23,1998,7.6,247,242,4,1,1,0,1,3,0,0,0,0,205,1,3,Matches,f76fdcd2
217,Gatito Fernández,py PAR,GK,Botafogo (RJ),33,1988,31.2,813,486,326,91,0,0,0,0,0,0,0,0,572,1,1,Matches,9a82f79a
218,Ignacio Fernández,ar ARG,MF,Atlético Mineiro,32,1990,24.7,1442,1221,215,67,3,1,154,20,122,54,37,1,1138,6,28,Matches,97a17c0b
219,Rodrigo Fernández,uy URU,MF,Santos,26,1996,25.7,1275,1227,45,40,2,10,17,5,0,0,0,0,1058,3,22,Matches,617ee116
220,Fernandinho,br BRA,MF,Atl Paranaense,36,1985,10.8,549,518,29,24,2,7,13,3,1,0,0,0,445,2,6,Matches,101da2b5
221,Derick Fernando,br BRA,DF,Santos,19,2002,0.2,9,9,0,0,0,0,0,0,0,0,0,0,8,0,0,Matches,a19d96f6
222,Luiz Fernando,br BRA,FWMF,Atl Goianiense,25,1996,19.4,514,499,15,4,3,5,25,3,2,0,1,0,385,0,24,Matches,824ed016
223,Nahuel Ferraresi,ve VEN,DF,São Paulo,23,1998,7.9,480,455,23,15,2,0,0,0,0,0,0,0,424,2,1,Matches,719aab45
224,Luiz Filipe,br BRA,MFFW,Goiás,20,2001,0.4,8,7,1,0,0,0,1,1,0,0,0,0,4,0,1,Matches,4a615e0b
225,Flávio,br BRA,MF,América (MG),21,2000,0.3,23,23,0,0,0,0,1,0,0,0,0,0,18,0,1,Matches,f0367bfd
226,Rafael Forster,br BRA,DF,Juventude,31,1990,18.1,939,860,76,65,0,10,7,4,0,0,0,0,738,3,7,Matches,eb3f56e5
227,Matheus França,br BRA,FWMF,Flamengo,17,2004,7.5,234,223,11,0,2,2,8,0,0,0,0,0,176,0,13,Matches,077faf72
228,Fred,br BRA,FWMF,Fluminense,38,1983,1.4,44,41,3,1,0,0,1,0,0,0,0,0,32,0,2,Matches,acaeba74
229,Marlon Freitas,br BRA,MF,Atl Goianiense,26,1995,27.5,1848,1787,52,36,7,27,23,14,1,0,1,0,1563,9,23,Matches,ae3181de
230,Douglas Friedrich,br BRA,GK,Avaí,33,1988,10.4,261,154,106,23,0,0,0,0,0,0,0,0,201,1,0,Matches,8789242d
231,Gabriel,br BRA,MF,São Paulo,22,1999,0.5,11,10,1,1,0,0,1,0,0,0,0,0,10,0,1,Matches,135d500d
232,Gabriel,br BRA,MF,Internacional,29,1992,23.8,1423,1366,55,49,0,11,8,6,0,0,0,0,1267,2,20,Matches,e9c0d5d8
233,Gabriel,br BRA,GK,Coritiba,29,1992,13.0,382,230,151,47,0,0,0,0,0,0,0,0,277,1,0,Matches,f93ed0df
234,Gabriel,br BRA,MF,Botafogo (RJ),28,1993,8.3,439,420,17,14,2,6,11,0,3,1,1,0,351,2,11,Matches,0d10333c
235,Eduardo Gabriel,br BRA,DF,Santos,25,1996,33.0,1538,1486,52,49,0,7,0,3,0,0,0,0,1329,0,12,Matches,aed65960
236,Luiz Gabriel,br BRA,FWMF,Coritiba,19,2002,1.1,53,49,4,4,0,0,0,0,0,0,0,0,47,0,0,Matches,f9c619e0
237,Marquinhos Gabriel,br BRA,MFFW,Goiás,31,1990,8.4,238,194,42,22,0,3,20,5,9,1,5,0,181,2,5,Matches,fcd113c4
238,Vitor Gabriel,br BRA,FWMF,Juventude,22,2000,8.6,143,130,10,0,1,0,3,1,0,0,0,0,73,3,4,Matches,094c2abd
239,Matías Galarza,py PAR,MF,Coritiba,19,2002,6.7,269,261,6,3,1,0,10,3,0,0,0,0,202,2,4,Matches,8e97a57b
240,Matheus Galdezani,br BRA,MF,Avaí,29,1992,3.2,142,137,4,2,0,1,4,0,2,0,2,0,106,1,6,Matches,5042eb90
241,Thiago Galhardo,br BRA,FWMF,Fortaleza,32,1989,15.0,352,323,23,0,3,1,10,3,1,0,0,0,216,6,14,Matches,766f48dd
242,Giuliano Galoppo,ar ARG,MF,São Paulo,22,1999,7.9,307,298,7,6,1,2,7,0,0,0,0,0,226,2,11,Matches,a8eeadaf
243,Léo Gamalho,br BRA,FW,Coritiba,36,1986,18.4,346,303,42,0,0,5,6,2,0,0,0,0,255,1,5,Matches,f73056ee
244,Ganso,br BRA,MFFW,Fluminense,32,1989,27.5,2076,1922,143,79,11,6,60,30,34,19,2,1,1816,11,25,Matches,23593121
245,García,br BRA,DFMF,Palmeiras,20,2002,1.1,76,70,6,0,0,0,1,6,0,0,0,0,64,0,2,Matches,45d071f4
246,Bryan García,ec ECU,MF,Atl Paranaense,21,2001,3.1,119,119,0,0,0,3,1,0,0,0,0,0,88,0,8,Matches,7b66d351
247,Luan Garcia,br BRA,DF,Palmeiras,28,1993,13.6,656,623,28,25,0,4,1,3,0,0,0,0,555,5,3,Matches,6ebe6cc1
248,Gaspar,br BRA,FW,Avaí,19,2002,0.4,9,8,1,0,0,0,1,1,0,0,0,0,5,0,0,Matches,996af9a5
249,Rafael Gava,br BRA,MF,Cuiabá,28,1993,22.7,1017,848,167,60,0,7,178,1,105,39,57,1,688,2,34,Matches,713e1a36
250,Lucas Gazal,br BRA,DF,Atl Goianiense,22,1999,14.5,597,571,25,17,0,13,3,1,0,0,0,0,486,1,3,Matches,dcae46d5
251,Guilherme Gehring,br BRA,MF,Juventude,16,2005,0.1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,Matches,37faab98
252,Geovane,br BRA,MF,Ceará,22,1999,6.1,277,260,14,8,1,2,6,5,0,0,0,0,219,3,6,Matches,099a14d5
253,Gil,br BRA,DF,Corinthians,34,1987,22.7,1202,1169,33,30,0,10,0,3,0,0,0,0,1039,0,10,Matches,31edef00
254,Giovane,br BRA,FWDF,Corinthians,18,2003,3.3,102,99,2,0,0,1,6,0,1,0,1,0,70,1,3,Matches,1b567cdc
255,Giovani,br BRA,FWMF,Palmeiras,18,2004,0.4,14,14,0,0,0,0,2,0,0,0,0,0,9,0,1,Matches,a199bd5f
256,Glédson,br BRA,GK,Avaí,38,1983,5.0,128,70,57,10,0,0,0,0,0,0,0,0,98,1,0,Matches,a9d625f5
257,Diego Godín,uy URU,DF,Atlético Mineiro,35,1986,1.0,80,79,1,1,0,0,0,0,0,0,0,0,73,0,0,Matches,fc4f85b1
258,Bruno Gomes,br BRA,MF,Coritiba,20,2001,16.6,681,649,30,21,2,4,21,2,7,4,2,0,548,2,11,Matches,76f2bbf8
259,Igor Gomes,br BRA,MF,São Paulo,22,1999,22.9,1022,971,46,19,6,12,64,5,22,6,16,0,803,5,21,Matches,6a7fb945
260,Igor Gomes,br BRA,DF,Internacional,20,2001,1.3,85,70,14,1,0,0,1,13,0,0,0,0,73,1,2,Matches,509d5b3d
261,João Gomes,br BRA,MF,Flamengo,20,2001,20.9,1027,994,32,25,5,2,11,6,1,0,0,0,892,1,18,Matches,8b57ad2c
262,Gustavo Gómez,py PAR,DF,Palmeiras,28,1993,30.0,1476,1419,56,37,2,7,12,16,0,0,0,0,1247,1,8,Matches,d5ce52a5
263,Aloísio dos Santos Gonçalves,cn CHN,FWMF,América (MG),33,1988,10.5,224,199,23,2,0,0,6,6,0,0,0,0,139,2,10,Matches,9851b2e0
264,Diego Gonçalves,br BRA,FW,Botafogo (RJ),27,1994,5.4,185,173,11,2,0,3,22,8,1,0,1,0,120,1,10,Matches,c707fc37
265,Matheus Gonçalves,br BRA,FW,Flamengo,16,2005,0.3,21,20,0,0,0,0,1,0,0,0,0,0,13,1,2,Matches,071a6836
266,Ricardo Goulart,br BRA,MFFW,Santos,30,1991,4.5,154,148,6,3,0,0,6,2,0,0,0,0,117,0,8,Matches,f053730b
267,Daniel Guedes,br BRA,DFMF,Cuiabá,27,1994,8.8,481,361,119,28,0,10,85,69,22,6,15,0,340,1,12,Matches,25f61bc3
268,Roger Guedes,br BRA,FWMF,Corinthians,25,1996,28.3,1057,995,57,14,8,18,27,22,11,5,2,0,853,5,31,Matches,612a9dd7
269,Paolo Guerrero,pe PER,FW,Avaí,38,1984,4.8,111,101,10,0,0,0,2,0,0,0,0,0,79,0,2,Matches,ae6657a1
270,Guga,br BRA,DF,Atlético Mineiro,23,1998,18.6,1181,945,235,46,0,2,78,179,10,1,8,1,934,1,21,Matches,6975a3e1
271,Marcos Guilherme,br BRA,FWMF,São Paulo,26,1995,6.4,298,272,25,1,0,1,9,23,0,0,0,0,264,1,7,Matches,d5ff6084
272,Marcos Guilherme,br BRA,MF,Santos,26,1995,0.3,15,14,1,0,0,0,1,0,1,0,1,0,12,0,0,Matches,d5ff6084
273,Gustavinho,br BRA,MF,América (MG),20,2001,4.3,178,165,12,2,0,2,14,2,7,5,0,0,123,1,10,Matches,69896b0e
274,Habraão,br BRA,DF,Fortaleza,20,2001,2.4,85,72,13,3,0,1,0,7,0,0,0,0,63,0,0,Matches,1e329d13
275,Lucas Halter,br BRA,DF,Atl Paranaense,21,2000,1.1,60,60,0,0,0,0,0,0,0,0,0,0,57,0,0,Matches,7aa882a2
276,Lucas Halter,br BRA,DF,Goiás,21,2000,11.9,408,387,20,18,1,1,2,1,0,0,0,0,325,1,5,Matches,7aa882a2
277,Hayner,br BRA,DF,Atl Goianiense,26,1995,15.3,647,513,131,10,1,3,70,119,2,0,0,0,479,3,13,Matches,246c7429
278,Heitor,br BRA,DF,Internacional,21,2000,4.4,206,163,43,8,0,0,13,35,0,0,0,0,158,0,8,Matches,e0839492
279,Thiago Heleno,br BRA,DF,Atl Paranaense,33,1988,12.7,620,597,23,23,1,15,1,0,0,0,0,0,515,0,3,Matches,827422f9
280,Helinho,br BRA,FWMF,Bragantino,21,2000,19.0,732,695,37,9,4,3,69,9,19,11,8,0,517,0,22,Matches,5837cb60
281,Henrique,br BRA,DF,Coritiba,35,1986,17.9,844,800,44,40,0,7,3,2,0,0,0,0,760,0,3,Matches,429163de
282,Arthur Henrique,br BRA,DF,Atl Goianiense,27,1994,10.7,538,450,87,11,1,1,27,75,1,0,1,0,418,1,15,Matches,ae46bd26
283,Bruno Henrique,br BRA,FWMF,Flamengo,31,1990,6.8,221,214,6,0,1,0,11,6,0,0,0,0,170,1,6,Matches,5edff24f
284,Daniel Henrique,br BRA,FW,Ceará,17,2004,0.3,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches,1ef923db
285,Gustavo Henrique,br BRA,DF,Flamengo,28,1993,3.8,198,190,8,8,0,2,0,0,0,0,0,0,175,0,0,Matches,fa066690
286,Luis Henrique,br BRA,FWMF,Botafogo (RJ),20,2001,2.9,107,106,1,0,1,2,6,1,0,0,0,0,82,0,4,Matches,f36d5624
287,Luiz Henrique,br BRA,FWMF,Fluminense,21,2001,11.7,361,357,3,0,1,2,21,3,0,0,0,0,252,1,11,Matches,8059806f
288,Paulo Henrique,br BRA,DFMF,Juventude,25,1996,16.7,621,529,91,4,1,4,94,87,0,0,0,0,416,1,23,Matches,25a0cb08
289,Pedro Henrique,br BRA,DF,Atl Paranaense,26,1995,25.6,1101,1052,45,44,0,40,3,0,0,0,0,0,847,4,8,Matches,4322e5d7
290,Pedro Henrique,br BRA,FWMF,Internacional,31,1990,17.7,522,505,16,3,1,3,81,5,4,0,3,0,334,1,10,Matches,460976a2
291,Hércules,br BRA,MFFW,Fortaleza,21,2000,15.2,581,577,3,2,1,11,17,1,0,0,0,0,464,1,13,Matches,eadc7b45
292,Nicolás Hernández,co COL,DF,Atl Paranaense,24,1998,18.0,698,653,41,32,0,11,1,9,0,0,0,0,584,4,1,Matches,86046c18
293,Hugo,br BRA,DFMF,Goiás,24,1997,7.8,368,291,77,9,0,0,22,64,4,2,2,0,255,0,6,Matches,bd2593f3
294,Hugo,br BRA,DFMF,Botafogo (RJ),20,2001,12.2,605,465,139,10,1,3,35,121,8,0,8,0,438,1,28,Matches,de3dc682
295,José Hugo,br BRA,FWMF,Coritiba,22,1999,4.4,89,88,1,0,0,0,9,0,1,0,0,0,60,0,5,Matches,d0f01217
296,Victor Hugo,br BRA,MF,Flamengo,17,2004,13.9,518,510,5,4,1,1,14,0,0,0,0,0,426,3,10,Matches,33fca7f7
297,Vitor Hugo,br BRA,FW,Goiás,17,2004,0.0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches,217f53a6
298,Hulk,br BRA,FW,Atlético Mineiro,35,1986,23.2,622,540,76,11,1,7,43,4,20,7,9,1,427,6,19,Matches,33a1f72e
299,José Hurtado,ec ECU,DF,Bragantino,20,2001,6.6,349,284,65,6,0,0,33,59,0,0,0,0,271,0,6,Matches,cb067e96
300,Hyoran,br BRA,MF,Bragantino,28,1993,14.2,453,384,64,26,5,2,75,3,34,30,0,0,288,5,13,Matches,ffb88c28
301,Igor,br BRA,MFFW,Flamengo,18,2003,0.3,5,5,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches,fb19d550
302,André Inácio,br BRA,FW,Flamengo,19,2002,0.5,10,9,1,0,0,0,1,0,0,0,0,0,9,0,0,Matches,cc77d69c
303,Mauricio Isla,cl CHI,DF,Flamengo,33,1988,3.8,186,159,26,2,0,0,13,24,0,0,0,0,153,1,0,Matches,de4517dd
304,Jadsom,br BRA,MF,Bragantino,20,2001,14.1,714,698,15,15,1,6,3,0,0,0,0,0,594,1,6,Matches,92859e80
305,Jadson,br BRA,MF,Juventude,28,1993,29.1,1357,1292,61,33,4,17,31,23,2,1,1,0,1115,4,23,Matches,05748af4
306,Jailson,br BRA,GK,América (MG),40,1981,12.0,315,182,131,39,0,2,0,1,0,0,0,0,211,2,0,Matches,01f7b8c3
307,Jair,br BRA,MF,Atlético Mineiro,27,1994,23.0,1101,1058,35,32,3,4,12,3,0,0,0,0,960,8,13,Matches,f3466edc
308,Jandrei,br BRA,GK,São Paulo,28,1993,18.3,686,543,139,31,0,5,0,0,0,0,0,0,488,4,0,Matches,85ea4399
309,Vinícius Jaú,br BRA,MF,Avaí,23,1998,0.1,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches,192d3898
310,Pablo Javier García,uy URU,FW,Coritiba,22,1999,0.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,895321cd
311,Jean,br BRA,MF,Juventude,27,1994,13.1,392,375,17,15,0,12,5,0,0,0,0,0,282,0,6,Matches,69a34ec0
312,Jefferson,br BRA,DF,Atl Goianiense,25,1997,25.3,1521,1284,228,49,0,13,74,172,7,2,4,0,1224,9,10,Matches,9df5f945
313,Jefferson,br BRA,FW,Botafogo (RJ),22,1999,17.8,538,523,15,1,7,3,12,7,0,0,0,0,398,0,25,Matches,45cce300
314,Jemerson,br BRA,DF,Atlético Mineiro,29,1992,11.1,576,545,30,19,0,5,0,1,0,0,0,0,511,1,3,Matches,7cab69b5
315,Jenison,br BRA,FW,Cuiabá,30,1991,3.6,89,82,7,0,1,0,3,0,0,0,0,0,59,0,3,Matches,767e6b7f
316,Alexandre Jesus,br BRA,MFDF,Fluminense,20,2001,0.7,34,28,5,0,0,0,5,5,0,0,0,0,20,1,4,Matches,25a323f3
317,Jô,br BRA,FW,Ceará,34,1987,8.7,185,166,18,0,2,1,2,0,0,0,0,0,130,1,4,Matches,e47d11f8
318,Jô,br BRA,FW,Corinthians,34,1987,2.2,53,51,1,0,0,0,1,0,0,0,0,0,41,1,0,Matches,e47d11f8
319,Joaquim,br BRA,DF,Cuiabá,23,1998,23.9,994,919,73,41,0,13,4,30,0,0,0,0,774,2,12,Matches,69e5e199
320,John,br BRA,GK,Santos,25,1996,1.0,30,13,17,8,0,1,0,0,0,0,0,0,13,0,0,Matches,33a235af
321,Jonas,br BRA,MF,São Paulo,22,1999,0.3,10,10,0,0,0,0,2,0,0,0,0,0,9,0,0,Matches,32794a5b
322,Felipe Jonatan,br BRA,DF,Santos,23,1998,23.0,1429,1156,269,65,1,8,95,183,21,4,15,0,1124,4,26,Matches,0102ca7f
323,Jonathan,br BRA,DF,Botafogo (RJ),23,1998,0.5,35,30,5,0,0,1,0,5,0,0,0,0,32,0,0,Matches,f3f60814
324,Jorge,br BRA,DF,Palmeiras,25,1996,5.2,255,198,54,3,0,0,18,51,0,0,0,0,192,3,2,Matches,13c44fc5
325,Jorginho,br BRA,MF,Atl Goianiense,31,1991,18.2,931,836,90,29,6,15,67,5,49,20,16,0,718,5,16,Matches,1f809750
326,Jhojan Julio,ec ECU,FWMF,Santos,23,1998,9.2,293,273,20,7,0,7,21,3,9,3,2,0,229,0,5,Matches,b1fc89f5
327,Juninho,br BRA,MF,América (MG),35,1986,0.2,13,12,1,0,0,0,1,0,1,1,0,0,10,0,0,Matches,2cc16e46
328,Juninho,br BRA,MF,América (MG),34,1987,34.5,1160,1097,60,33,3,1,29,26,1,0,1,0,856,3,28,Matches,7d10ca2e
329,Renato Junior,br BRA,FWMF,Goiás,19,2002,5.5,106,98,8,0,1,0,4,0,0,0,0,0,71,0,5,Matches,80b72720
330,Jussa,br BRA,MFDF,Fortaleza,25,1996,7.0,261,244,15,12,1,1,2,3,0,0,0,0,202,2,8,Matches,883f5dc8
331,Kaiky,br BRA,DF,Santos,18,2004,1.0,40,39,1,1,0,0,0,0,0,0,0,0,34,0,0,Matches,55634fb8
332,Lucas Kal,br BRA,MF,América (MG),25,1996,24.0,944,887,51,46,2,13,3,5,0,0,0,0,702,6,16,Matches,33ed689d
333,Kanu,br BRA,DF,Botafogo (RJ),24,1997,16.1,760,728,31,29,0,3,1,2,0,0,0,0,655,1,6,Matches,fefa9b9a
334,Alan Kardec,br BRA,FWMF,Atlético Mineiro,33,1989,2.9,44,41,2,0,0,0,0,0,0,0,0,0,29,1,0,Matches,e7fba767
335,Kauan,br BRA,FW,Bragantino,18,2003,0.3,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,Matches,34375e0b
336,Kawê,br BRA,MFFW,América (MG),19,2002,0.3,5,5,0,0,0,0,1,0,0,0,0,0,5,0,0,Matches,f1bca9ec
337,Kayque,br BRA,MF,Botafogo (RJ),21,2000,3.1,112,105,7,6,2,1,2,0,0,0,0,0,87,0,1,Matches,54b980d6
338,Renato Kayser,br BRA,FW,Fortaleza,25,1996,1.8,29,25,3,0,0,1,1,0,0,0,0,0,19,1,2,Matches,c7495dda
339,Gabriel Kazu,br BRA,MF,Avaí,22,1999,0.0,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0,Matches,42430d76
340,Keiller,br BRA,GK,Internacional,25,1996,15.0,359,181,178,43,0,0,0,0,0,0,0,0,238,0,0,Matches,e38fde76
341,Thalisson Kelven,br BRA,DF,Juventude,23,1998,20.0,756,722,33,24,0,2,0,7,0,0,0,0,661,1,5,Matches,18e87471
342,Kelvi,br BRA,MF,Juventude,19,2002,0.5,7,7,0,0,0,0,0,0,0,0,0,0,5,0,0,Matches,33143d85
343,Kelvin,br BRA,MFFW,Atl Goianiense,24,1997,3.4,175,158,17,3,0,0,20,4,10,4,6,0,134,0,6,Matches,b8dab818
344,Kelvyn,br BRA,FWDF,Ceará,22,1999,0.6,39,36,2,0,0,0,2,2,0,0,0,0,33,1,1,Matches,8b992778
345,John Kennedy,br BRA,FWMF,Fluminense,19,2002,1.6,28,23,4,1,0,0,1,1,0,0,0,0,19,1,2,Matches,132880e0
346,Keno,br BRA,FWMF,Atlético Mineiro,32,1989,20.6,719,649,67,4,5,10,101,7,55,33,6,0,483,3,28,Matches,98558c11
347,Kevin,br BRA,DF,Avaí,24,1997,29.2,1951,1505,441,96,2,10,184,273,69,18,45,1,1445,5,39,Matches,1f07666f
348,Khellven,br BRA,DF,Atl Paranaense,20,2001,23.4,1120,794,322,29,0,6,137,242,51,13,29,0,766,4,26,Matches,cf18ab1b
349,Willian Klaus,br BRA,DF,Atl Goianiense,28,1994,6.0,305,299,6,4,0,0,0,1,0,0,0,0,266,0,0,Matches,ddc86898
350,Willian Klaus,br BRA,DF,Botafogo (RJ),28,1994,1.0,13,11,2,2,0,0,0,0,0,0,0,0,10,0,0,Matches,ddc86898
351,Benjamín Kuscevic,cl CHI,DF,Palmeiras,25,1996,3.3,120,115,5,5,0,0,0,0,0,0,0,0,104,0,2,Matches,9edddc34
352,Gabriel Lacerda,br BRA,DF,Ceará,22,1999,20.0,842,789,48,45,0,7,6,2,0,0,0,0,669,5,11,Matches,0664b5a6
353,Anthony Landazuri,ec ECU,DF,Fortaleza,24,1997,5.8,288,233,53,6,0,2,5,47,0,0,0,0,223,2,4,Matches,b3a267f0
354,Thauan Lara,br BRA,DFFW,Internacional,18,2004,3.8,146,125,21,6,0,0,5,15,0,0,0,0,115,0,6,Matches,c4dba1f3
355,Lázaro,br BRA,FWMF,Flamengo,19,2002,9.1,332,307,23,1,1,2,23,4,13,13,0,0,246,2,8,Matches,86ff856b
356,Anderson Leite,br BRA,MF,Juventude,28,1993,0.8,30,29,1,0,0,0,1,1,0,0,0,0,26,0,0,Matches,9981c92d
357,Vinícius Leite,br BRA,MF,Avaí,28,1993,1.5,65,60,5,2,0,1,5,0,3,3,0,0,50,0,0,Matches,e991fbd7
358,Bernanrdo Lemes,br BRA,MFFW,Coritiba,20,2002,10.5,359,351,6,6,0,2,6,0,0,0,0,0,300,2,7,Matches,1ee9a3b6
359,Marcos Leonardo,br BRA,FW,Santos,18,2003,32.0,384,316,66,1,2,2,8,2,0,0,0,0,278,2,14,Matches,3f47ebce
360,Vitor Leque,br BRA,MFDF,Juventude,21,2001,0.6,22,19,3,1,0,1,1,2,0,0,0,0,17,0,1,Matches,6ba15719
361,Lima,br BRA,FWMF,Ceará,25,1996,21.5,944,834,105,51,2,2,61,25,26,8,15,1,773,5,14,Matches,d215c7de
362,Anderson Lima,br BRA,MFFW,São Paulo,22,1999,2.3,84,79,4,3,0,0,6,0,1,1,0,0,54,1,1,Matches,59be3a74
363,Lucas Lima,br BRA,DFMF,Atl Goianiense,21,2000,1.4,86,67,19,3,0,0,4,16,0,0,0,0,69,0,2,Matches,c4c45622
