,,,,,,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches,-9999
41,Leo Augusto Pereira,br BRA,FWMF,Atl Goianiense,21,2000,12.6,293,286,5,1,1,1,55,4,0,0,0,0,172,2,20,Matches,a3818875
42,Renato Augusto,br BRA,MF,Corinthians,33,1988,15.6,1029,922,105,24,3,14,75,8,55,22,19,0,840,2,15,Matches,83a6367a
43,Auremir,br BRA,MF,Goiás,30,1991,16.4,559,541,15,13,1,3,3,1,0,0,0,0,441,3,9,Matches,3a2e6d70
44,Auro,br BRA,DF,Santos,26,1996,4.3,220,175,43,2,0,1,5,41,0,0,0,0,181,2,6,Matches,b234cb0e
45,Danilo Avelar,br BRA,DF,América (MG),32,1989,9.6,419,336,81,7,0,0,24,74,0,0,0,0,292,2,8,Matches,eacb45fd
46,Felipe Azevedo,br BRA,MFFW,América (MG),35,1987,25.3,846,804,38,5,1,10,50,11,21,6,1,0,588,4,29,Matches,4a22b15a
47,Matheus Babi,br BRA,FWMF,Atl Paranaense,24,1997,0.9,20,17,3,0,0,0,0,1,0,0,0,0,15,0,0,Matches,f48cff2c
48,Pedro Bahia,br BRA,MF,Goiás,19,2002,0.3,,,,,,,1,,,,,,,,,Matches,3964a23d
49,Fabrício Baiano,br BRA,FWMF,Fortaleza,29,1992,0.6,29,26,3,0,0,0,8,3,0,0,0,0,15,0,3,Matches,d8a48dad
50,Fabián Balbuena,py PAR,DF,Corinthians,30,1991,12.0,621,596,21,20,1,2,0,0,0,0,0,0,490,4,4,Matches,3626f7d9
51,Robson Bambu,br BRA,DF,Corinthians,24,1997,4.4,188,178,10,6,0,1,0,4,0,0,0,0,160,0,5,Matches,d4fa7d01
52,Léo Baptistão,br BRA,FWMF,Santos,29,1992,12.6,335,328,3,0,1,6,15,3,0,0,0,0,219,4,18,Matches,35f6db55
53,Gabriel Baralhas,br BRA,MF,Atl Goianiense,23,1998,24.0,1149,1110,37,30,0,18,7,7,0,0,0,0,1015,2,16,Matches,b7838aad
54,Danilo Barbosa,br BRA,MF,Botafogo (RJ),25,1996,1.8,77,76,1,1,0,3,0,0,0,0,0,0,60,0,0,Matches,0557ff4f
55,Gabriel Barbosa,br BRA,FW,Flamengo,25,1996,22.7,721,645,73,3,7,4,34,5,21,3,4,1,586,3,18,Matches,72d0e1b6
56,Lucas Barbosa,br BRA,FWMF,Santos,20,2001,8.6,285,281,3,1,3,9,14,2,0,0,0,0,185,1,13,Matches,a28eac7e
57,Danilo Barcelos,br BRA,DFMF,Goiás,30,1991,11.4,460,320,139,18,0,3,56,103,18,6,12,0,299,1,6,Matches,26f4ef39
58,Leandro Barcia,uy URU,FW,Atl Goianiense,29,1992,0.3,4,4,0,0,0,0,0,0,0,0,0,0,2,0,1,Matches,11d91ea7
59,Barreto,br BRA,MF,Botafogo (RJ),26,1995,0.3,14,12,2,2,0,0,0,0,0,0,0,0,11,0,1,Matches,de08d383
60,Fellipe Bastos,br BRA,MF,Goiás,31,1990,9.6,588,502,83,60,0,5,35,0,19,11,8,0,465,3,4,Matches,9b99eae0
61,Ramiro Benetti,br BRA,MFFW,Corinthians,28,1993,6.1,290,282,8,3,1,0,4,4,1,0,1,0,236,0,7,Matches,96d14fe7
62,Martín Benítez,ar ARG,MF,América (MG),27,1994,8.4,493,403,89,38,3,6,63,15,33,10,16,1,354,1,8,Matches,c122e34e
63,Bento,br BRA,GK,Atl Paranaense,22,1999,33.0,852,475,371,54,0,2,0,0,0,0,0,0,485,6,0,Matches,5d699228
64,Lucas Beraldo,br BRA,DF,São Paulo,18,2003,1.4,81,79,2,0,0,1,0,0,0,0,0,0,69,0,0,Matches,b8aedf06
65,Eduardo de Biasi,br BRA,MF,Avaí,25,1997,20.8,789,763,23,10,4,4,26,11,2,1,0,0,659,3,12,Matches,828a04fa
66,Pedro Bicalho,br BRA,MF,Palmeiras,20,2001,0.0,3,3,0,0,0,1,0,0,0,0,0,0,3,0,0,Matches,f35cb8a4
67,Raul Bicalho,br BRA,DF,Corinthians,22,1999,18.7,1091,1067,20,18,0,16,5,2,0,0,0,0,914,4,8,Matches,79af412b
68,Guilherme Biro,br BRA,FW,Corinthians,17,2004,1.2,37,35,2,0,0,0,3,0,2,2,0,0,30,0,1,Matches,e38c2c76
69,Guilherme Biro,br BRA,DF,Coritiba,21,2000,8.2,378,299,78,4,0,2,19,74,0,0,0,0,299,1,6,Matches,02c7236e
70,Guilherme Bissoli,br BRA,FW,Avaí,24,1998,27.1,545,477,66,1,1,0,15,2,0,0,0,0,386,2,25,Matches,c9024e62
71,Marcelo Boeck,br BRA,GK,Fortaleza,37,1984,13.0,301,149,150,32,0,1,0,0,0,0,0,0,205,2,0,Matches,069cb4f8
72,Ângelo Borges,br BRA,FWMF,Santos,17,2004,17.0,522,500,18,4,5,2,51,7,7,3,0,0,348,4,25,Matches,737945d9
73,Daniel Borges,br BRA,DF,Botafogo (RJ),28,1993,20.8,1297,1015,278,59,1,23,115,175,44,11,29,1,986,4,18,Matches,71879f82
74,Douglas Borges,br BRA,GK,Botafogo (RJ),31,1990,1.0,25,15,10,3,0,0,0,0,0,0,0,0,19,0,0,Matches,55196057
75,Marllon Borges,br BRA,DF,Cuiabá,29,1992,33.4,1362,1289,67,65,1,10,2,2,0,0,0,0,1168,6,12,Matches,d0b29bbd
76,Gabriel Boschilia,br BRA,MFFW,Internacional,25,1996,0.6,50,44,6,2,1,0,2,2,2,1,1,0,41,0,3,Matches,e90af77c
77,Gabriel Boschilia,br BRA,MF,Coritiba,25,1996,5.3,183,163,20,11,0,0,10,2,6,4,2,0,139,0,9,Matches,e90af77c
78,Lucas Braga,br BRA,FWMF,Santos,25,1996,23.1,677,622,49,15,2,2,49,31,3,1,0,0,530,6,21,Matches,8a0a73ad
